21,49,2,0,41,5,2,4,49,7,0,2,128,27,0,0,0,0,0,0,135,50,0,0,0,0,0,1,133,66,0,0,0,0,0,2,26,18,23,45,38,1,0,0,135,26,3,0,0,0,0,19,135,34,0,0,0,0,0,17,135,46,0,0,0,0,0,11,7,6,6,20,74,50,30,27,118,15,1,0,0,0,5,39,135,23,0,0,0,0,0,21,135,13,0,0,0,0,0,63,51,7,0,0,24,53,15,21,135,18,0,0,0,0,1,22,135,34,0,0,0,0,0,4,135,35,0,0,0,0,0,11
43,128,2,2,29,5,0,1,0,0,1,9,93,20,0,0,0,0,0,4,54,6,0,0,46,14,3,8,6,0,0,0,82,27,1,6,35,1,0,21,7,0,0,18,119,7,0,0,0,1,0,27,24,2,0,0,37,59,7,8,2,38,25,6,48,31,0,1,14,7,101,123,17,0,0,3,103,57,56,20,3,1,0,7,12,47,102,34,34,28,0,0,9,123,73,2,6,5,0,0,2,6,123,123,7,0,0,0,11,115,123,123,1,0,0,0,4,123,123,15,0,0,0,0,0,96,123,2,0,0,0,0
58,228,2,0,102,45,0,0,0,0,0,12,133,77,0,0,0,0,0,11,106,28,0,0,0,0,0,4,106,29,0,0,0,0,0,2,133,14,1,0,0,0,1,36,133,50,0,0,0,0,0,31,84,37,2,3,3,0,2,12,132,8,0,0,0,0,0,41,133,24,0,0,0,0,0,26,133,17,0,0,0,0,0,62,79,12,5,5,4,3,2,34,132,54,1,0,0,0,0,11,102,26,0,0,0,0,0,5,133,9,0,0,0,0,0,34,112,38,5,0,0,0,0,20,105,74,2,0,0,0,0,0
66,103,2,0,20,51,17,0,0,0,1,4,11,68,82,9,0,0,3,4,126,126,20,1,0,0,0,2,87,48,11,8,6,4,2,9,43,14,0,0,0,0,25,46,126,126,13,2,0,0,14,35,86,126,36,0,0,0,0,9,41,26,1,0,5,10,6,16,43,41,7,2,2,1,5,9,126,42,7,0,0,0,0,126,126,33,3,0,0,0,0,93,6,6,1,0,3,2,0,0,14,126,37,2,0,0,0,0,73,109,124,10,0,0,0,20,126,78,9,0,0,1,0,13,7,3,0,0,0,1,1,1
73,128,2,0,8,11,15,42,10,1,0,3,32,10,34,34,13,0,0,42,118,13,26,36,15,1,0,118,47,9,18,68,53,7,1,20,13,15,10,13,13,7,3,11,79,104,109,18,11,2,1,8,118,77,118,25,13,3,1,40,32,15,8,53,118,16,5,23,18,4,2,3,4,27,15,9,118,34,8,1,0,4,4,55,79,38,48,16,2,0,10,51,25,19,14,99,118,1,0,9,20,19,28,62,18,4,3,5,118,15,0,6,3,0,3,102,87,8,2,3,1,0,5,93,82,5,3,75,85,0,0,14
78,35,2,0,113,59,0,0,0,0,0,0,125,94,0,0,0,0,0,0,107,87,0,0,0,0,0,0,67,41,0,0,0,0,0,0,125,47,0,0,0,0,0,2,125,53,0,0,0,0,0,10,125,32,0,0,0,0,0,35,84,15,0,0,0,0,0,20,125,47,0,0,0,0,0,3,125,43,0,0,0,0,0,31,125,28,0,0,0,0,0,51,116,31,0,0,0,0,0,5,105,68,0,0,0,0,0,0,125,63,0,0,0,0,0,1,112,76,0,0,0,0,0,1,79,44,0,0,0,0,0,0
114,36,2,0,77,0,0,0,0,0,0,56,116,0,0,0,0,0,0,79,116,7,0,0,0,0,0,43,71,14,0,0,0,0,0,25,126,1,0,0,0,0,0,50,126,9,0,0,0,0,0,28,126,22,0,0,0,0,0,24,99,64,0,0,0,0,0,6,126,0,0,0,0,0,0,64,126,31,0,0,0,0,0,43,126,33,0,0,0,0,0,20,123,9,0,0,0,0,0,44,90,0,0,0,0,0,0,83,126,1,0,0,0,0,0,103,120,15,0,0,0,0,1,77,79,6,0,0,0,0,1,48
114,148,2,1,18,21,1,0,7,7,2,1,103,66,1,0,0,0,0,4,103,35,0,0,4,54,19,7,132,25,1,0,0,20,10,16,45,36,3,0,1,5,7,5,132,72,2,1,11,10,5,17,100,31,0,1,89,88,11,13,132,28,0,0,3,9,3,25,35,10,0,0,3,18,7,8,116,6,0,0,10,49,23,64,132,25,0,0,38,117,23,25,132,61,0,0,1,0,0,9,35,22,1,1,12,23,3,1,47,48,7,14,34,13,2,5,102,128,7,8,22,17,4,5,132,30,0,0,0,1,21,61
114,148,2,0,7,11,5,13,115,42,7,7,25,3,2,20,62,17,14,36,19,8,4,42,35,0,0,1,8,3,0,8,18,4,2,4,5,4,10,120,120,8,0,1,114,56,25,81,39,2,1,13,16,21,24,120,37,1,0,1,4,11,3,30,47,7,1,1,1,0,1,120,120,0,0,0,115,18,9,110,89,0,0,39,39,8,2,73,120,1,0,17,3,1,0,30,68,10,0,1,0,0,2,120,72,0,0,0,36,29,12,120,82,0,0,2,30,24,5,67,97,0,0,1,1,0,0,30,87,14,0,1
126,137,2,0,29,6,5,18,56,11,4,39,72,13,6,15,18,1,1,12,131,7,0,0,0,0,1,73,131,13,8,7,3,4,5,41,67,35,26,38,13,3,7,36,21,5,16,74,62,6,11,27,131,15,0,1,4,1,8,93,131,5,1,1,17,14,2,95,28,2,1,2,10,26,48,119,28,10,3,38,63,9,11,46,131,34,2,9,6,0,1,63,131,1,0,2,20,12,3,131,73,15,0,0,3,8,13,51,72,7,0,9,17,8,1,21,73,12,0,4,11,5,1,36,131,5,0,4,5,2,3,91
